question_id,stakes_num,flipped_to_user,flipped_away_both,accuracy
8626,0,0,0,1
992,0,0,1,1
1757,0,0,0,1
593,0,0,0,1
3533,0,0,0,1
9317,0,0,0,1
3609,0,0,0,1
6503,0,0,0,0
9203,0,0,0,1
1458,0,0,1,1
7434,0,0,0,1
801,0,1,0,0
453,0,0,0,0
3829,0,0,1,0
3982,0,0,0,1
1655,0,0,0,0
8396,0,1,0,0
3437,0,0,0,1
9564,0,1,0,0
9617,0,0,0,1
4377,0,0,0,1
8644,0,0,0,1
11250,0,0,0,1
7351,0,0,0,1
7835,0,0,0,0
4928,0,0,0,1
10365,0,0,0,0
12035,0,1,0,0
11882,0,1,0,0
2154,0,0,1,1
7930,0,0,0,1
8344,0,1,0,0
3647,0,0,0,1
1484,0,0,0,0
4621,0,0,0,1
5362,0,0,0,1
4775,0,0,0,1
8720,0,0,0,0
11764,0,0,0,1
1301,0,0,0,0
4186,0,0,0,0
5204,0,1,0,0
4080,0,0,0,1
4020,0,0,0,1
3584,0,0,0,1
5834,0,0,0,1
4736,0,0,0,1
745,0,0,1,0
3722,0,0,0,1
4544,0,0,0,1
10508,0,0,0,1
4319,0,0,1,0
4849,0,1,0,0
5260,0,0,0,1
3975,0,1,0,0
4336,0,0,0,1
2475,0,0,0,1
9543,0,0,0,1
1521,0,0,0,1
9434,0,0,0,1
2723,0,0,1,0
290,0,0,0,1
2227,0,0,0,0
7782,0,1,0,0
2251,0,0,0,1
206,0,0,0,1
9346,0,1,0,0
1281,0,0,0,0
5968,0,0,0,1
4007,0,0,0,1
7956,0,1,0,0
4732,0,0,0,1
3833,0,0,0,1
701,0,0,0,0
3165,0,0,0,1
7083,0,0,0,1
10683,0,0,0,0
11247,0,0,1,0
8711,0,0,0,1
3228,0,1,0,0
5174,0,0,0,1
1016,0,0,0,1
6711,0,0,0,1
8596,0,0,0,1
12028,0,0,0,1
434,0,0,0,1
2328,0,0,0,1
2920,0,0,0,1
9310,0,0,1,0
7895,0,0,1,0
4971,0,0,0,0
6248,0,0,0,1
11532,0,0,0,1
3976,0,0,1,0
6246,0,0,0,1
1737,0,0,0,1
1050,0,0,0,0
6741,0,0,0,1
6019,0,0,0,1
8412,0,1,0,0
8626,1,0,0,1
992,1,0,1,1
1757,1,0,0,1
593,1,0,0,1
3533,1,0,0,1
9317,1,0,0,1
3609,1,0,0,1
6503,1,0,0,0
9203,1,0,0,1
1458,1,0,1,1
7434,1,0,0,1
801,1,1,0,0
453,1,0,0,0
3829,1,0,1,0
3982,1,0,0,1
1655,1,0,0,0
8396,1,1,0,0
3437,1,0,0,1
9564,1,1,0,0
9617,1,0,0,1
4377,1,0,0,1
8644,1,0,0,1
11250,1,0,0,1
7351,1,0,0,1
7835,1,0,1,0
4928,1,0,0,1
10365,1,0,0,0
12035,1,1,0,0
11882,1,1,0,0
2154,1,0,0,0
7930,1,0,0,1
8344,1,1,0,0
3647,1,0,0,1
1484,1,0,0,0
4621,1,0,0,1
5362,1,0,0,1
4775,1,0,0,1
8720,1,0,0,0
11764,1,0,0,1
1301,1,0,0,0
4186,1,1,0,0
5204,1,1,0,0
4080,1,0,0,1
4020,1,0,0,1
3584,1,0,0,1
5834,1,0,0,1
4736,1,0,0,1
745,1,0,1,0
3722,1,0,0,1
4544,1,0,0,1
10508,1,0,0,1
4319,1,1,0,0
4849,1,1,0,0
5260,1,0,0,1
3975,1,1,0,0
4336,1,0,0,1
2475,1,0,0,1
9543,1,0,0,1
1521,1,0,0,1
9434,1,0,0,1
2723,1,0,1,0
290,1,0,0,1
2227,1,0,0,0
7782,1,1,0,0
2251,1,0,0,1
206,1,0,0,1
9346,1,1,0,0
1281,1,0,0,0
5968,1,0,0,1
4007,1,0,0,1
7956,1,1,0,0
4732,1,0,0,1
3833,1,0,0,1
