question_id,stakes_num,flipped_to_user,flipped_away_both,accuracy
3829,0,0,0,1
3982,0,0,0,1
7434,0,0,0,1
801,0,0,0,1
8396,0,0,0,1
9617,0,0,0,1
3976,0,0,0,1
3165,0,0,0,0
7351,0,0,0,1
9564,0,0,0,1
8644,0,0,0,1
3437,0,0,0,1
7835,0,0,0,1
11250,0,0,0,1
2154,0,0,0,1
7930,0,0,0,1
11882,0,0,0,1
593,0,0,0,1
10365,0,0,0,0
2723,0,0,0,1
4928,0,0,0,1
3647,0,0,0,1
4621,0,0,0,1
4775,0,0,0,1
12035,0,0,0,0
8344,0,0,0,1
1737,0,0,0,1
8720,0,0,0,1
1484,0,0,0,0
1301,0,0,0,1
1757,0,0,0,1
11764,0,0,0,1
4020,0,0,0,1
9317,0,0,0,1
3609,0,0,0,1
4186,0,0,0,1
5834,0,0,0,1
4736,0,0,0,1
4377,0,0,0,1
745,0,0,0,1
4080,0,0,0,1
3584,0,0,0,1
10508,0,0,0,1
5260,0,0,0,1
1655,0,0,0,1
8412,0,0,0,0
1521,0,0,0,1
5204,0,0,0,0
6248,0,1,0,1
9434,0,0,0,1
4849,0,0,0,1
11532,0,0,0,1
7782,0,0,0,1
2227,0,0,0,0
4336,0,0,0,1
4007,0,0,0,1
2251,0,0,0,1
9346,0,0,0,1
290,0,0,0,1
453,0,0,0,1
3833,0,0,0,1
7956,0,0,0,1
7083,0,0,0,1
4544,0,0,0,1
5362,0,0,0,1
992,0,0,0,1
8596,0,0,0,1
8711,0,0,0,1
5174,0,0,0,1
3722,0,0,0,1
1016,0,0,0,1
4319,0,0,0,1
8626,0,0,0,1
3228,0,0,0,1
5968,0,0,0,1
1281,0,0,0,0
10683,0,0,0,0
3975,0,0,0,0
11247,0,0,0,0
2328,0,0,0,1
2475,0,0,0,1
434,0,0,0,1
6711,0,0,0,1
4732,0,0,0,1
7895,0,0,0,1
206,0,0,0,1
2920,0,0,0,1
3533,0,0,0,1
9310,0,0,0,1
1050,0,0,0,1
701,0,0,0,1
6019,0,0,0,1
6741,0,0,0,1
6503,0,0,0,0
6246,0,0,0,1
12028,0,0,0,0
9203,0,0,0,1
4971,0,0,0,0
9543,0,0,0,1
1458,0,1,0,1
821,0,0,0,1
3215,0,0,0,1
4612,0,0,0,1
1345,0,0,0,1
5870,0,0,0,1
5797,0,0,0,1
11949,0,0,0,1
6487,0,0,0,1
3146,0,0,0,1
7529,0,0,0,1
286,0,0,0,1
5168,0,0,0,1
2317,0,0,0,1
1509,0,0,0,1
10641,0,0,0,1
6645,0,0,0,1
4342,0,0,0,0
8337,0,0,0,1
3253,0,0,0,1
10170,0,0,0,0
3589,0,0,0,1
6219,0,0,0,1
12121,0,0,0,1
3188,0,0,0,1
9881,0,0,0,1
134,0,0,0,0
10190,0,0,0,1
9636,0,0,0,1
8682,0,0,0,1
12149,0,0,0,1
363,0,0,0,1
2750,0,0,0,1
8945,0,0,0,1
3554,0,0,0,1
2033,0,0,0,1
10260,0,0,0,1
10404,0,0,0,1
5886,0,0,0,1
9741,0,0,0,1
8457,0,0,0,1
10052,0,0,0,1
501,0,0,0,1
3724,0,0,0,1
5450,0,0,0,1
11232,0,0,0,1
4419,0,0,0,1
11539,0,0,0,1
12176,0,1,0,1
9968,0,0,0,1
3185,0,0,0,1
2739,0,0,0,1
9064,0,0,0,1
9801,0,0,0,1
9538,0,0,0,1
5337,0,0,0,1
3645,0,0,0,1
8726,0,1,0,1
11679,0,0,0,1
3840,0,0,0,1
4879,0,0,0,1
7438,0,0,0,1
8770,0,0,0,1
2494,0,0,0,1
5315,0,0,0,0
6549,0,0,0,1
6226,0,0,0,1
4692,0,0,0,1
5996,0,0,1,0
8676,0,0,0,1
8091,0,0,0,1
4814,0,0,0,1
5690,0,0,0,1
